,aircraft,travellers_type,Seat_type,route,date_flown
0,,Couple Leisure,Economy Class,London to Corfu,September 2023
1,,Solo Leisure,Economy Class,Toronto to London,July 2024
2,,Couple Leisure,Economy Class,London Gatwick to Verona,June 2024
3,A320,Business,Business Class,London Heathrow to Paris CDG,June 2024
4,A350-1000,Solo Leisure,Economy Class,London Heathrow to Vancouver,June 2024
5,A350-1000,Solo Leisure,Business Class,Vancouver to London Heathrow,June 2024
6,A320/A380,Couple Leisure,Business Class,Belfast to San Francisco via London,April 2024
7,,Couple Leisure,Economy Class,London Heathrow to Keflavik,June 2024
8,Boeing 777,Solo Leisure,Business Class,New York JFK to London Heathrow,June 2024
9,Boeing 777,Solo Leisure,Premium Economy,London to newark,June 2024
10,,Couple Leisure,Economy Class,Florence to Heathrow,June 2024
11,A320,Couple Leisure,Business Class,London to Manchester,June 2024
12,A320,Solo Leisure,Business Class,London to Amsterdam,May 2024
13,,Couple Leisure,Premium Economy,Tokyo to Manchester via London,May 2024
14,Boeing 747,Business,Business Class,Heathrow to San Francisco,June 2024
15,,Couple Leisure,Business Class,Tampa to Gatwick,May 2024
16,,Family Leisure,Premium Economy,Los Angeles to London,January 2024
17,A320,Solo Leisure,Economy Class,Hannover to London Heathrow,May 2024
18,,Family Leisure,Economy Class,Austin to London Heathrow,May 2024
19,,Business,Business Class,Vienna to Johannesburg via London,October 2023
20,A380,Couple Leisure,Economy Class,Johannesburg to Heathrow,May 2024
21,,Solo Leisure,Economy Class,London Heathrow to Singapore,May 2024
22,Boeing 787-9,Couple Leisure,Business Class,London Heathrow to Hong Kong,May 2024
23,,Solo Leisure,Economy Class,Boston to London,May 2024
24,,Couple Leisure,Economy Class,New York to Manchester via London,May 2024
25,A380 / Boeing 777-200ER,Family Leisure,Business Class,London to San Francisco,August 2023
26,,Couple Leisure,Economy Class,Malaga to Boston via London,May 2024
27,A380,Couple Leisure,Business Class,Milan Linate to Miami via London Heathrow,April 2024
28,A320,Couple Leisure,Economy Class,Catania to Gatwick,May 2024
29,,Solo Leisure,Economy Class,London to Hannover,April 2024
30,A319 / A320,Solo Leisure,Economy Class,Manchester to Copenhagen via London,April 2024
31,,Solo Leisure,Economy Class,London to Valencia,April 2024
32,A380,Business,Economy Class,Singapore to London,April 2024
33,A320,Business,Economy Class,Madrid to London Heathrow,April 2024
34,A350,Solo Leisure,Economy Class,Austin to London Heathrow,April 2024
35,,Couple Leisure,Premium Economy,Zurich to Phoenix via Heathrow,February 2024
36,A319 / E190,Couple Leisure,Economy Class,Rotterdam to London City,March 2024
37,,Solo Leisure,Premium Economy,Kansas City to Dublin via Heathrow,April 2024
38,,Family Leisure,Economy Class,Tenerife to London,January 2024
39,A340,Business,Business Class,Lisbon to San Diego,March 2024
40,Boeing 787,Business,Business Class,London Heathrow to Mumbai,March 2024
41,Boeing 777-200,Couple Leisure,Business Class,Doha to London Heathrow,March 2024
42,Boeing 777-200,Couple Leisure,Business Class,Doha to London Heathrow,March 2024
43,A350,Solo Leisure,Business Class,London Heathrow to São Paulo,March 2024
44,,Couple Leisure,Economy Class,London Heathrow to Nice,March 2024
45,Boeing 777,Business,Business Class,London to Tokyo,March 2024
46,A320,Business,Economy Class,Lisbon to London,March 2024
47,Boeing 777,Couple Leisure,Business Class,London to Delhi,February 2024
48,A320,Couple Leisure,Economy Class,London to Milan,March 2024
49,,Couple Leisure,Economy Class,Madrid to London Heathrow,March 2024
50,A320,Solo Leisure,Economy Class,London Heathrow to Toulouse,March 2024
51,Boeing 787-8 /777-200 / A320-200,Family Leisure,Economy Class,Montreal to Venice via London Heathrow,March 2024
52,A321,Business,Business Class,Paphos to London,March 2024
53,Boeing 777-300,Business,Business Class,London to Houston,March 2024
54,A320,Solo Leisure,Business Class,London Heathrow to Brussels,March 2024
55,Boeing 777,Solo Leisure,Business Class,Barbados to London heathrow,March 2024
56,,Family Leisure,Economy Class,Toronto to Mumbai via London,February 2024
57,,Family Leisure,Economy Class,Copenhagen to Port of Spain via London,February 2024
58,Boeing 777-300ER,Solo Leisure,First Class,Los Angeles to London,March 2024
59,Boeing 777-300,Business,Business Class,Singapore to Sydney,March 2024
60,,Business,Business Class,Cyprus to London,February 2024
61,,Solo Leisure,Economy Class,Singapore to Auckland via Sydney,March 2024
62,Boeing 787,Couple Leisure,Business Class,London Heathrow to Mexico City,March 2024
63,A319,Solo Leisure,Business Class,Heathrow to Oslo,February 2024
64,,Solo Leisure,Economy Class,Sydney to Porto via Singapore / London,June 2023
65,A320,Couple Leisure,Economy Class,London Heathrow to Lisbon,February 2024
66,A320,Solo Leisure,Premium Economy,Madrid to London via Buenos Aires,February 2024
67,,Couple Leisure,Economy Class,Pisa to London Heathrow,September 2023
68,A320,Couple Leisure,Business Class,Malaga to London Heathrow,February 2024
69,A350,Couple Leisure,Economy Class,Phoenix to Lisbon via London,February 2024
70,A320,Solo Leisure,Economy Class,London to Istanbul,February 2024
71,Boeing 777,Solo Leisure,Premium Economy,"Austin, TX to Shannon, Ireland via Austin",January 2024
72,A380,Solo Leisure,First Class,London to San Francisco,November 2023
73,,Couple Leisure,Economy Class,London Heathrow to Casablanca,February 2024
74,,Family Leisure,Premium Economy,London Heathrow to Glasgow,January 2024
75,,Couple Leisure,Economy Class,London Heathrow to Berlin,October 2023
76,A380-800,Couple Leisure,Business Class,London to Miami,February 2024
77,,Solo Leisure,Business Class,Athens to London,December 2023
78,Boeing 777-200,Family Leisure,Premium Economy,London Gatwick to Cancun,January 2024
79,,Business,Economy Class,London to Warsaw,January 2024
80,,Family Leisure,Business Class,London Heathrow to Miami,December 2023
81,,Solo Leisure,Economy Class,Boston to Düsseldorf via London,January 2024
82,A350,Business,Economy Class,Sao Paulo to London Heathrow,January 2024
83,A320,Couple Leisure,Economy Class,London Heathrow to Lisbon,January 2024
84,,Family Leisure,Economy Class,London to Hong Kong,January 2024
85,,Family Leisure,Business Class,Dusseldorf (DUS) to Miami (MIA),January 2024
86,,Family Leisure,Business Class,Cairo to London Heathrow,January 2024
87,,Family Leisure,Economy Class,Dublin  to London Heathrow,January 2024
88,,Business,Economy Class,Glasgow to London,January 2024
89,A350-1000,Solo Leisure,Economy Class,Vancouver to London,January 2024
90,A320,Business,Business Class,Heathrow to Madrid,October 2023
91,Boeing 777 -200,Couple Leisure,Business Class,London to New York,November 2023
92,,Family Leisure,Economy Class,Rome to London,January 2024
93,,Family Leisure,Business Class,Gatwick to Geneva,December 2023
94,A320,Solo Leisure,Business Class,Istanbul to London Heathrow,December 2023
95,A320,Solo Leisure,Economy Class,London Heathrow to Istanbul,December 2023
96,Boeing 777,Business,Business Class,Gatwick to St Lucia,December 2023
97,Boeing 777,Couple Leisure,Business Class,Sydney to London Heathrow,December 2023
98,Boeing 777,Business,Business Class,Lisbon to Houston via London Heathrow,November 2023
99,A350,Solo Leisure,Premium Economy,Vancouver to London Heathrow,December 2023
100,,Couple Leisure,Economy Class,London to Corfu,September 2023
101,,Solo Leisure,Economy Class,Toronto to London,July 2024
102,,Couple Leisure,Economy Class,London Gatwick to Verona,June 2024
103,A320,Business,Business Class,London Heathrow to Paris CDG,June 2024
104,A350-1000,Solo Leisure,Economy Class,London Heathrow to Vancouver,June 2024
105,A350-1000,Solo Leisure,Business Class,Vancouver to London Heathrow,June 2024
106,A320/A380,Couple Leisure,Business Class,Belfast to San Francisco via London,April 2024
107,,Couple Leisure,Economy Class,London Heathrow to Keflavik,June 2024
108,Boeing 777,Solo Leisure,Business Class,New York JFK to London Heathrow,June 2024
109,Boeing 777,Solo Leisure,Premium Economy,London to newark,June 2024
110,,Couple Leisure,Economy Class,Florence to Heathrow,June 2024
111,A320,Couple Leisure,Business Class,London to Manchester,June 2024
112,A320,Solo Leisure,Business Class,London to Amsterdam,May 2024
113,,Couple Leisure,Premium Economy,Tokyo to Manchester via London,May 2024
114,Boeing 747,Business,Business Class,Heathrow to San Francisco,June 2024
115,,Couple Leisure,Business Class,Tampa to Gatwick,May 2024
116,,Family Leisure,Premium Economy,Los Angeles to London,January 2024
117,A320,Solo Leisure,Economy Class,Hannover to London Heathrow,May 2024
118,,Family Leisure,Economy Class,Austin to London Heathrow,May 2024
119,,Business,Business Class,Vienna to Johannesburg via London,October 2023
120,A380,Couple Leisure,Economy Class,Johannesburg to Heathrow,May 2024
121,,Solo Leisure,Economy Class,London Heathrow to Singapore,May 2024
122,Boeing 787-9,Couple Leisure,Business Class,London Heathrow to Hong Kong,May 2024
123,,Solo Leisure,Economy Class,Boston to London,May 2024
124,,Couple Leisure,Economy Class,New York to Manchester via London,May 2024
125,A380 / Boeing 777-200ER,Family Leisure,Business Class,London to San Francisco,August 2023
126,,Couple Leisure,Economy Class,Malaga to Boston via London,May 2024
127,A380,Couple Leisure,Business Class,Milan Linate to Miami via London Heathrow,April 2024
128,A320,Couple Leisure,Economy Class,Catania to Gatwick,May 2024
129,,Solo Leisure,Economy Class,London to Hannover,April 2024
130,A319 / A320,Solo Leisure,Economy Class,Manchester to Copenhagen via London,April 2024
131,,Solo Leisure,Economy Class,London to Valencia,April 2024
132,A380,Business,Economy Class,Singapore to London,April 2024
133,A320,Business,Economy Class,Madrid to London Heathrow,April 2024
134,A350,Solo Leisure,Economy Class,Austin to London Heathrow,April 2024
135,,Couple Leisure,Premium Economy,Zurich to Phoenix via Heathrow,February 2024
136,A319 / E190,Couple Leisure,Economy Class,Rotterdam to London City,March 2024
137,,Solo Leisure,Premium Economy,Kansas City to Dublin via Heathrow,April 2024
138,,Family Leisure,Economy Class,Tenerife to London,January 2024
139,A340,Business,Business Class,Lisbon to San Diego,March 2024
140,Boeing 787,Business,Business Class,London Heathrow to Mumbai,March 2024
141,Boeing 777-200,Couple Leisure,Business Class,Doha to London Heathrow,March 2024
142,Boeing 777-200,Couple Leisure,Business Class,Doha to London Heathrow,March 2024
143,A350,Solo Leisure,Business Class,London Heathrow to São Paulo,March 2024
144,,Couple Leisure,Economy Class,London Heathrow to Nice,March 2024
145,Boeing 777,Business,Business Class,London to Tokyo,March 2024
146,A320,Business,Economy Class,Lisbon to London,March 2024
147,Boeing 777,Couple Leisure,Business Class,London to Delhi,February 2024
148,A320,Couple Leisure,Economy Class,London to Milan,March 2024
149,,Couple Leisure,Economy Class,Madrid to London Heathrow,March 2024
150,A320,Solo Leisure,Economy Class,London Heathrow to Toulouse,March 2024
151,Boeing 787-8 /777-200 / A320-200,Family Leisure,Economy Class,Montreal to Venice via London Heathrow,March 2024
152,A321,Business,Business Class,Paphos to London,March 2024
153,Boeing 777-300,Business,Business Class,London to Houston,March 2024
154,A320,Solo Leisure,Business Class,London Heathrow to Brussels,March 2024
155,Boeing 777,Solo Leisure,Business Class,Barbados to London heathrow,March 2024
156,,Family Leisure,Economy Class,Toronto to Mumbai via London,February 2024
157,,Family Leisure,Economy Class,Copenhagen to Port of Spain via London,February 2024
158,Boeing 777-300ER,Solo Leisure,First Class,Los Angeles to London,March 2024
159,Boeing 777-300,Business,Business Class,Singapore to Sydney,March 2024
160,,Business,Business Class,Cyprus to London,February 2024
161,,Solo Leisure,Economy Class,Singapore to Auckland via Sydney,March 2024
162,Boeing 787,Couple Leisure,Business Class,London Heathrow to Mexico City,March 2024
163,A319,Solo Leisure,Business Class,Heathrow to Oslo,February 2024
164,,Solo Leisure,Economy Class,Sydney to Porto via Singapore / London,June 2023
165,A320,Couple Leisure,Economy Class,London Heathrow to Lisbon,February 2024
166,A320,Solo Leisure,Premium Economy,Madrid to London via Buenos Aires,February 2024
167,,Couple Leisure,Economy Class,Pisa to London Heathrow,September 2023
168,A320,Couple Leisure,Business Class,Malaga to London Heathrow,February 2024
169,A350,Couple Leisure,Economy Class,Phoenix to Lisbon via London,February 2024
170,A320,Solo Leisure,Economy Class,London to Istanbul,February 2024
171,Boeing 777,Solo Leisure,Premium Economy,"Austin, TX to Shannon, Ireland via Austin",January 2024
172,A380,Solo Leisure,First Class,London to San Francisco,November 2023
173,,Couple Leisure,Economy Class,London Heathrow to Casablanca,February 2024
174,,Family Leisure,Premium Economy,London Heathrow to Glasgow,January 2024
175,,Couple Leisure,Economy Class,London Heathrow to Berlin,October 2023
176,A380-800,Couple Leisure,Business Class,London to Miami,February 2024
177,,Solo Leisure,Business Class,Athens to London,December 2023
178,Boeing 777-200,Family Leisure,Premium Economy,London Gatwick to Cancun,January 2024
179,,Business,Economy Class,London to Warsaw,January 2024
180,,Family Leisure,Business Class,London Heathrow to Miami,December 2023
181,,Solo Leisure,Economy Class,Boston to Düsseldorf via London,January 2024
182,A350,Business,Economy Class,Sao Paulo to London Heathrow,January 2024
183,A320,Couple Leisure,Economy Class,London Heathrow to Lisbon,January 2024
184,,Family Leisure,Economy Class,London to Hong Kong,January 2024
185,,Family Leisure,Business Class,Dusseldorf (DUS) to Miami (MIA),January 2024
186,,Family Leisure,Business Class,Cairo to London Heathrow,January 2024
187,,Family Leisure,Economy Class,Dublin  to London Heathrow,January 2024
188,,Business,Economy Class,Glasgow to London,January 2024
189,A350-1000,Solo Leisure,Economy Class,Vancouver to London,January 2024
190,A320,Business,Business Class,Heathrow to Madrid,October 2023
191,Boeing 777 -200,Couple Leisure,Business Class,London to New York,November 2023
192,,Family Leisure,Economy Class,Rome to London,January 2024
193,,Family Leisure,Business Class,Gatwick to Geneva,December 2023
194,A320,Solo Leisure,Business Class,Istanbul to London Heathrow,December 2023
195,A320,Solo Leisure,Economy Class,London Heathrow to Istanbul,December 2023
196,Boeing 777,Business,Business Class,Gatwick to St Lucia,December 2023
197,Boeing 777,Couple Leisure,Business Class,Sydney to London Heathrow,December 2023
198,Boeing 777,Business,Business Class,Lisbon to Houston via London Heathrow,November 2023
199,A350,Solo Leisure,Premium Economy,Vancouver to London Heathrow,December 2023
200,A329,Family Leisure,Business Class,London Heathrow to Stockholm,December 2023
201,,Solo Leisure,Economy Class,Indianapolis to Mumbai via London Heathrow,December 2023
202,,Family Leisure,Premium Economy,Cyprus to New York,December 2023
203,A321,Solo Leisure,Business Class,Gran Canaria  to London Gatwick,December 2023
204,A320/Boeing 777,Couple Leisure,Business Class,Belfast City to Atlanta via London Heathrow,November 2023
205,Boeing 787-8,Business,Business Class,London to Portland,December 2023
206,,Solo Leisure,Economy Class,London to Frankfurt,June 2023
207,A350,Solo Leisure,Business Class,Cape Town to London Heathrow,December 2023
208,,Couple Leisure,Business Class,Miami to Manchester via Heathrow,December 2023
209,A380,Solo Leisure,Economy Class,Johannesburg to London,December 2023
210,Boeing 777,Solo Leisure,Economy Class,London Heathrow to Singapore,December 2023
211,A320,Solo Leisure,Business Class,Gatwick to Las Palmas,December 2023
212,A319,Couple Leisure,Economy Class,London Heathrow to Geneva,December 2023
213,,Solo Leisure,Economy Class,Madrid to San Francisco via London Heathrow,November 2023
214,,Couple Leisure,Economy Class,Lisbon to London Heathrow,November 2023
215,A380,Couple Leisure,Business Class,Miami to London Heathrow,November 2023
216,,Family Leisure,Economy Class,Palma de Mallorca to Gatwick,December 2023
217,Boeing 787-9,Solo Leisure,Economy Class,London to Johannesburg,November 2023
218,,Family Leisure,Economy Class,Zürich to Tokyo Haneda via London,July 2023
219,A380,Couple Leisure,First Class,London to Miami,November 2023
220,,Couple Leisure,Economy Class,London to Stuttgart,November 2023
221,A320,Business,Economy Class,Brussels to London,November 2023
222,A320,Couple Leisure,Business Class,London Heathrow to Dublin,November 2023
223,,Couple Leisure,Economy Class,London to Dublin,December 2022
224,,Couple Leisure,Economy Class,London to Lisbon,November 2023
225,A320,Solo Leisure,Economy Class,Bucharest to Manchester via London,September 2023
226,Boeing 777-300,Couple Leisure,Premium Economy,Manchester to Cape Town via London,November 2023
227,A320,Solo Leisure,Economy Class,Seville to London Gatwick,November 2023
228,Boeing 777,Family Leisure,Economy Class,London Heatrow to Atlanta,November 2023
229,,Couple Leisure,Economy Class,Gatwick to Antalya,October 2023
230,A320,Couple Leisure,Business Class,Dublin to London Heathrow,November 2023
231,,Couple Leisure,Economy Class,Anchorage to Heathrow via Barcelona,October 2023
232,A320,Solo Leisure,Economy Class,London Heathrow to Gibraltar,October 2023
233,,Couple Leisure,Economy Class,London to Philadelphia,October 2023
234,A321 neo,Business,Economy Class,London Heathrow to Cairo,October 2023
235,,Couple Leisure,Economy Class,Seattle to Porto via Heathrow,October 2023
236,A320,Couple Leisure,Economy Class,Malta to London Gatwick,October 2023
237,,Solo Leisure,Economy Class,London to Amsterdam,October 2023
238,A380-800,Solo Leisure,Economy Class,San Francisco to London,October 2023
239,,Solo Leisure,Business Class,İstanbul to London,October 2023
240,,Couple Leisure,Economy Class,London to Austin,October 2023
241,A320,Solo Leisure,Economy Class,Geneva to London Heathrow,October 2023
242,,Couple Leisure,Economy Class,Istanbul via London,October 2023
243,A320,Couple Leisure,Business Class,Porto to London,September 2023
244,A320-232,Solo Leisure,Economy Class,London Heathrow to Geneva,October 2023
245,A320,Business,Business Class,London to Istanbul,October 2023
246,,Couple Leisure,Economy Class,London Gatwick to Punta Cana,October 2023
247,,Solo Leisure,Business Class,London to Hong Kong,July 2023
248,A320,Couple Leisure,Economy Class,Catania to Gatwick,October 2023
249,,Couple Leisure,Economy Class,Gatwick to Venice,September 2023
250,A321,Solo Leisure,Economy Class,Berlin to London,October 2023
251,,Couple Leisure,Economy Class,Atlanta to Glasgow via London,September 2023
252,Boeing 787,Couple Leisure,Economy Class,Singapore to Sydney,October 2023
253,Boeing 777,Solo Leisure,First Class,London to New York JFK,October 2023
254,BA366,Couple Leisure,Business Class,Heathrow to Marseille,August 2023
255,A380,Couple Leisure,Economy Class,Chicago to Manchester via Heathrow,October 2023
256,A320,Business,Business Class,London Heathrow to Munich,September 2023
257,A320,Couple Leisure,Business Class,Heathrow to Istanbul,September 2023
258,A320,Business,Economy Class,London to Geneva,October 2023
259,,Couple Leisure,Business Class,Athens to London,September 2023
260,,Business,Economy Class,Milan to San Jose via London,September 2023
261,777-300 and A320,Couple Leisure,First Class,Dallas to Dubrovnik via Heathrow,September 2023
262,A321,Business,Business Class,London to Seville,September 2023
263,,Couple Leisure,Economy Class,London Heathrow to Tokyo,September 2023
264,,Solo Leisure,Business Class,Miami to Dublin via London Heathrow,August 2023
